7301CDL,BMW,X5,2008,7418
6614VJB,Infiniti,QX56,2011,6934
6788GYB,Volvo,S80,2001,1459
7319UFO,Saab,900,1998,6813
7280UQY,Smart,Fortwo,2010,2478
3806SAZ,Honda,Accord,2009,3983
6694ZJQ,Honda,Accord,2004,7745
6065YYW,Toyota,Camry,2000,6486
4818XXV,Subaru,Legacy,1992,6810
3621HRX,Kia,Rio,2008,9322
5086ZWF,Dodge,Dakota Club,1997,9703
5477GTA,Jaguar,XJ Series,2000,8812
4229CRR,Plymouth,Breeze,1999,7132
4725UNO,Mercedes-Benz,CL-Class,2011,8698
5016KCT,Nissan,Maxima,2003,9301
0718LVN,Audi,S6,2003,3731
0669ASK,Acura,RL,1999,4084
7549OIN,Lamborghini,Murciélago,2006,8089
5280MUS,Audi,100,1989,5134
0035IDN,Saturn,S-Series,1997,4523
0092IAR,Ford,Freestar,2006,8091
8620IBU,Isuzu,Amigo,1999,6516
9774DED,Acura,RL,2005,6859
1633SQY,Ford,F150,1994,2540
2037KGE,Mazda,B-Series,1999,1098
8069LCX,Acura,RDX,2010,9150
6159YPX,Audi,90,1990,4060
0854GYF,Pontiac,Vibe,2005,3809
5977GRY,Lexus,SC,2010,5730
4669RAY,Dodge,Avenger,2000,686
2459STO,Mazda,B-Series Plus,1997,7708
4048HWD,Lamborghini,Murciélago,2007,8249
3234IIM,Jeep,Grand Cherokee,1993,5187
7447MNQ,Oldsmobile,Cutlass Cruiser,1993,3349
9841FRD,Mazda,Protege,1998,3550
9409THQ,Chrysler,Aspen,2009,9511
8731FYE,Toyota,Supra,1994,1031
5576QSS,Lamborghini,Countach,1987,4549
4966RHD,Cadillac,Eldorado,1998,7547
2180RCN,Kia,Sedona,2005,6520
8602AEC,Maserati,Karif,1990,4897
0911PGD,Spyker,C8 Spyder Wide Body,2004,4880
2936GEC,Infiniti,G,2005,4558
3915FCJ,GMC,Vandura G3500,1995,9323
7780NMF,Volvo,850,1995,8165
0300CLT,Nissan,Frontier,2010,1992
5698MDH,Mitsubishi,Excel,1987,4585
1085XOV,Buick,Regal,2000,5009
9827BYJ,Mazda,Familia,1987,1915
5467ZJJ,Mercedes-Benz,SLK-Class,2010,1157
4372UBB,Hummer,H1,1995,7153
3402KKE,Chevrolet,Silverado 1500,2009,622
3144QRW,Infiniti,Q,1999,1894
9863IPN,Chevrolet,Avalanche 1500,2004,6896
1244CKH,Buick,Roadmaster,1993,1823
3780LSP,Chevrolet,Corvette,1960,6378
7618JFK,Subaru,Brat,1984,1365
5566VYF,Ford,E150,2007,6368
7842PKD,Pontiac,Grand Prix,1977,7159
7161IZW,Audi,100,1989,2180
1733ILY,Dodge,Neon,2000,7799
3771PEM,Toyota,Sienna,2002,6667
3705EJT,Nissan,Maxima,2011,6705
9312NPZ,BMW,X6,2010,6070
9329PAK,Mitsubishi,Mirage,1995,4691
5323CHP,Saab,9-2X,2006,889
7080LEU,Pontiac,Grand Prix,1977,9447
5824IMN,GMC,Yukon XL 1500,2004,7211
1815RYF,Nissan,Murano,2006,1828
7389TON,Subaru,Legacy,2011,2564
8782AWC,Jaguar,XK Series,2013,7913
5715HDI,Volkswagen,rio,1995,8624
2106QIN,Buick,Regal,2001,9214
6385MFI,Mercedes-Benz,CLS-Class,2012,7725
2914FCN,Ford,Taurus,1997,6957
5945INU,Chevrolet,Tahoe,2011,8720
5907OER,Suzuki,Grand Vitara,2011,1983
9173UVQ,Isuzu,Stylus,1993,9025
2463LYF,Porsche,Boxster,2003,1384
2763VQM,Dodge,Dakota,2004,8629
1036WGS,Lexus,IS,2007,8079
7636QCR,Ford,F350,1994,1489
9138GDR,Chevrolet,G-Series G30,1995,9153
2120RIA,BMW,X5,2009,4838
6527TYB,Honda,Element,2004,7531
8747WKR,Oldsmobile,98,1996,7967
3728KST,Mazda,929,1993,5191
6334UKT,Aston Martin,Vantage,2006,849
2674ZYF,Ford,Bronco,1990,3892
6169SNY,Jaguar,XK,2007,8481
9300BCW,Isuzu,VehiCROSS,1999,9621
3279NEW,Porsche,928,1993,4899
2700XMI,Plymouth,Reliant,1981,5010
9310BER,Hummer,H1,1993,9877
5037JXX,Nissan,Armada,2006,8623
4532TJS,Chevrolet,TrailBlazer,2004,8051
6156WPB,Ford,Explorer,2000,2264
3682THZ,Nissan,Pathfinder,1997,786
3191HAF,Maybach,62,2012,7998
2219BSO,Cadillac,DeVille,1994,2209
1199VQW,Mercedes-Benz,SLS AMG,2011,2066
3218IWT,Lexus,RX,2001,536
1473BZE,Geo,Tracker,1997,4101
7239NHX,Acura,ZDX,2011,3411
7910AUB,Honda,Element,2007,9489
5137ENN,Dodge,Dakota,1997,1553
6583JDJ,Dodge,Grand Caravan,2003,7504
3769PXA,Pontiac,Grand Prix,1979,9510
6313XWQ,Ford,F-Series Super Duty,2008,944
2113WBT,Saab,9-5,2004,4191
6531FTQ,Mazda,RX-8,2010,9586
